P1_ID de la respuesta;"P8_¿Ha leido la Politica de Acceso Abierto; disponible aqui: link?";P11_Sexo;P12_Edad;RANGO ETARIO;P13_Area del conocimiento en la cual se enmarca su quehacer;P14_OCDE;P16_Usted es una:;P17_Pais de residencia;P17_RECAT;"P18_Si su pais de residencia es Chile; por favor indique la region";P18_MACROZONA;P19_Nombre Institucion;P21_Sector al que pertenece la institucion;P22_Sector economico en el que se desempeña la institucion;P23_area del conocimiento en la cual se enmarca su quehacer2;P26_Cargo dentro de la institucion de quien responde;P27_CARGO_RECAT;P29_Respecto del objetivo de esta politica ¿Que tan de acuerdo o en desacuerdo esta usted?;p29_recat;"P30_Por favor; ¿podria darnos mas antecedentes que expliquen su respuesta?";p30_recat;"P31_En su opinion; ¿hay otros aspectos que deberian incluirse dentro del objetivo general?";"P32_Si respondio afirmativamente; por favor; indique cuales serian esos aspectos:";p32_recat;P33_Respecto de los objetivos especificos de esta politica ¿Que tan de acuerdo o en desacuerdo esta usted?;p33_recat;"P35_Por favor; ¿podria darnos mas antecedentes que expliquen su respuesta?4";p35_recat;"P36_En su opinion; ¿hay otros aspectos que deberian incluirse dentro de los objetivos especificos?";"P37_Si respondio afirmativamente; por favor; indique cuales serian esos aspectos:5";p37_recat;P38_Sobre lo anterior:  Indique su nivel de acuerdo o desacuerdo respecto a las dos fases de implementacion que señala la Politica de Acceso Abierto;p38_recat;"P39_Por favor; ¿podria darnos mas antecedentes que expliquen su respuesta? ";p39_recat;"P40_En su opinion; ¿hay otros aspectos que deberian incluirse dentro de la implementacion de la Politica de Acceso Abierto?";"P41_Si respondio afirmativamente; por favor; indique cuales serian esos aspectos.";p41_recat;"P42_Por favor; señale su nivel de acuerdo o desacuerdo respecto de esta obligacion:";p42_recat;"P43_Por favor; ¿podria darnos mas antecedentes que expliquen su respuesta?6";P43_RECAT;"P44_En su opinion; ¿hay otros aspectos que deberian incluirse dentro de las obligaciones indicadas en el parrafo?";"P45_Si respondio afirmativamente; por favor; indique cuales deberian ser esos aspectos:";P45_RECAT;"P46_De acuerdo a lo descrito; señale su nivel de acuerdo o desacuerdo respecto de esta obligacion.";P46_RECAT;"P47_Por favor; ¿podria darnos mas antecedentes que expliquen su respuesta?7";P47_RECAT;"P48_En su opinion; ¿hay otros aspectos que deberian incluirse dentro de las obligaciones indicadas para los datos de investigacion?";"P49_Si respondio afirmativamente; por favor; indique cuales serian esos aspectos:8";P49_RECAT;"P50_Por favor; señale su nivel de acuerdo o desacuerdo respecto de estas acciones:";P50_RECAT;"P51_Por favor; ¿podria darnos mas antecedentes que expliquen su respuesta?9";p51_recat;"P52_En su opinion; ¿hay otros aspectos que deberian incluirse dentro de las acciones que debe ejecutar la ANID para implementar la Politica de Acceso Abierto?";"P53_Por favor; indique cuales deberian ser esos aspectos:";p53_recat;P54_¿Que otros aspectos usted considera que debiesen ser abordados en la Politica de Acceso Abierto y_o en las acciones para su implementacion?;p54_recat
50;Si;Hombre;33;ENTRE 31 Y 40;HISTORIA DEL ARTE;HUMANIDADES;Persona Natural;FRANCIA;EXTRANJERO;EXTRANJERO;EXTRANJERO;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;Estoy convencido que las investigaciones doctorales deben estar accesibles a cualquiera que este interesado. La necesidad de divulgar el conocimiento es fundamental en lo que se refiere a una tesis. Lamentablemente hoy en nuestro pais no contamos con un repositorio que nos permita acceder a trabajos que fueron realizados en el extranjero. La dificil tarea de divulgacion en articulos o libros es por ahora la unica via para poder liberar las investigaciones. Creo que seria un gran aporte poder acceder a los trabajos hechos por cientificos financiados por los fondos de capital humano avanzado.;1;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;Si;Creo que se deberian considerar las legislaciones referentes a los derechos de autor de las tesis doctorales realizadas en el extranjero. No tengo la seguridad si podemos entregar la version final ya defendida a otra institucion para su divulgacion.;1;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Quizas algo importante a considerar en lo que se refiere al acceso abierto es el tema del copyright de las imagenes utilizadas en nuestras investigaciones y de la compatibilidad o no de este en las politicas de acceso abierto a traves de un repositorio estatal. Pienso en bases de datos de imagenes en copyleft.;1
53;Si;Mujer;30;MENOR DE 30;URBANISMO;CIENCIAS SOCIALES;Persona Natural;FRANCIA;EXTRANJERO;EXTRANJERO;EXTRANJERO;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;"Asegurar es un verbo que obliga a la politica a ejecutarse.
Es adecuado que la agencia se ocupe del acceso abierto_gratuito todo lo que financia.";1;Si;Seria ideal que el acceso abierto sea ampliado tambien para los articulos producidos por universidades chilenas que reciben financiamiento publico.;1;De acuerdo;Muy de acuerdo o de acuerdo;"Si bien los objetivos son adecuados y coherentes;carecen de elementos esenciales que podrian hacer un cambio en esta politica.";1;Si;"Deberia incluirse informacion temporal de los objetivos.
Asegurar el acceso abierto a la ciudadania no es solo poner a disposicion las investigaciones; sino buscar formulas para que la busqueda sea facil y cuyo vocabulario sea universalmente comprensible.
Falta un objetivo que busque promoverla publicacion en plataformas de acceso abierto; tanto para hacerlas crecer como para disminuir los costos que supondra esta politica. Para ello es esencial cambiar los parametros de evaluacion de productividad academica en fondos y becas.";1;De acuerdo;Muy de acuerdo o de acuerdo;Estas fases son adecuadas para el acceso abierto;1;Si;"Como lo señale anteriormente; deben existir dispositivos de promocion para publicar en revistas de acceso abierto. De lo contrario se tratara de una politica cara y de lenta aplicacion. Ademas es una oportunidad para hacer crecer a las revistas nacionales";1;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;Es necesario ahondar en el plan de gestion de datos.;1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;;
57;No;Hombre;34;ENTRE 31 Y 40;INGENIERIA ELECTRICA Y ELECTRONICA;INGENIERIA Y TECNOLOGIA;Persona Natural;CHILE;CHILE;08. BIOBiO;CENTRO SUR;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;"Desde siempre; la informacion resultante de proyectos de cualquier indole y financiado con fondos publicos debieran estar abiertos a la comunidad y comunicados de una forma tal que sean entendibles por publico no experto. Ademas; bases de datos generadas y otros debieran quedar a disposicion de la comunidad cientifica local para generar una sinergia entre los investigadores nacionales y desarrollos que vengan.";1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No responde;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;"Todos los datos generados por proyectos o tesis con financiamiento publico debiera ser al menos de uso libre por la comunidad cientifica del pais; y los que son sensibles; por ultimo con licencia para uso no comercial; firmando alguna declaracion; etc.";1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;La politica debiera ser retroactiva al ser implementada.;1
61;Si;Mujer;61;MAYOR DE 60;BIBLIOTECOLOGIA;CIENCIAS SOCIALES;Persona Natural;CHILE;CHILE;12. MAGALLANES Y ANTaRTICA CHILENA;AUSTRAL;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;La informacion contenida en estas investigaciones dificilmente ha estado disponible a traves del tiempo. Es necesario no solo difundir sino tambien transparentar el buen uso de los recursos fiscales.;1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;"El poder acceder a los resultados de las investigaciones permitira tambien saber el estado del arte de las distintas areas del conocimiento; y evitara duplicar esfuerzos y dinero en investigaciones ya realizadas; y de las que nadie sabe";1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;"Especialmente la primera fase exigira a las instituciones a contar con un repositorio que contenga todas las publicaciones; lo que permitira tambien visibilizar el trabajo de esa institucion y de sus investigadores";1;No;;;De acuerdo;Muy de acuerdo o de acuerdo;"Estoy muy de acuerdo en general; salvo por el  parrafo 7; pues si son fondos publicos no debiera haber ""acuerdos con terceros"";  salvo que este solo parcialmente financiado.";1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;Todo esta muy claro;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;;
64;Si;Mujer;66;MAYOR DE 60;BIBLIOTECOLOGIA;CIENCIAS SOCIALES;Persona Natural;CHILE;CHILE;12. MAGALLANES Y ANTaRTICA CHILENA;AUSTRAL;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;Como indica involucra recursos publicos.;1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;"Esta claro los aspectos fundamentales: acceso; transparencia y reutilizacion. Se optimizan los recursos de todo tipo y se abrevia el tiempo.";1;No;;;Ni de acuerdo ni en desacuerdo;Ni acuerdo ni en desacuerdo;El costo por publicar regularmente se asocia al proyecto. Puede abreviarse el tiempo transcurrido en Ruta Dorada;1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;"Recursos economicos  y_ o capacitacion para las instituciones que requieran: desarrollar ; adecuar; estandarizar o actualizar el repositorio institucional.";1
68;Si;Hombre;52;ENTRE 51 Y 60;"BIOLOGIA MARINA; LIMNOLOGIA";CIENCIAS NATURALES;Persona Natural;CHILE;CHILE;12. MAGALLANES Y ANTaRTICA CHILENA;AUSTRAL;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;"La informacion cientifica obtenida con fondos publicos debe estar disponible lo antes posible para todo el publico interesado; evitando su utilizacion comercial en desmedro del bien comun.";1;Si;"Me preocupa la declaracion que obliga a los investigadores a entregar sus bases de datos para el dominio publico aun si la misma aun no ha sido publicada. Debiera en casos de demora de la publicacion (algo no tan raro que ocurra) darse la oportunidad a los investigadores de tener un plazo mas amplio hasta lograr publicar en revistas cientificas los resultados de sus investigaciones. Entonces; habria que agregar que los datos deben ser publicos; siempre y cuando se asegure la autoria de los mismos (es decir que si se utilizan los datos los mismos deben ser citados apropiadamente).";1;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Considero importante que este proyecto no solamente establezca obligaciones para los investigadores sino que tambien busque garantizar la proteccion de derechos de autor y proteccion contra el plagio.;1
72;Si;Hombre;58;ENTRE 51 Y 60;INGENIERIA MECANICA;INGENIERIA Y TECNOLOGIA;Persona Natural;CHILE;CHILE;13. METROPOLITANA;RM;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;Abrir el acceso al conocimiento cientifico es cerrar el paso a la ignorancia y sus consecuencias.;1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;"Si el origen de este conocimiento se financia con fondos estatales; le pertenece a todos";1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;"Dentro de mi ignorancia sobre el tema; me parecen adecuadas las fases.";1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;Idem a la anterior;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;No los tengo;;No;;;No responde;NS_NR;"Si el conocimiento no se da a conocer; no existe.";1;No;;;No los tengo;
74;No responde;Hombre;48;ENTRE 41 Y 50;"OCEANOGRAFIA; HIDROLOGIA Y RECURSOS DEL AGUA";CIENCIAS NATURALES;Persona Natural;CHILE;CHILE;08. BIOBiO;CENTRO SUR;;;;;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No responde;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No responde;;;De acuerdo;Muy de acuerdo o de acuerdo;"Se deben respetar los embargos de resultados para publicaciones cientificas; sobre todo en journals de alto indice de impacto.";1;No responde;;;De acuerdo;Muy de acuerdo o de acuerdo;"De acuerdo a que se considere tambien los repositorios internacionales. Es una solicitud de varias revistas al momento de publicar.
Lo que NO puede ocurrir; es que varias instituciones (ANID; repositorios internacionales; etc; etc) soliciten acceso a DATOS en DIFERENTES FORMATO.";1;No responde;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No responde;;;;
75;Si;Mujer;35;ENTRE 31 Y 40;EDUCACION GENERAL;CIENCIAS SOCIALES;Persona Natural;CHILE;CHILE;08. BIOBiO;CENTRO SUR;;;;;;;De acuerdo;Muy de acuerdo o de acuerdo;"Me parece adecuado avanzar hacia formas mas democraticas de acceso al conocimiento; especialmente para facilitar el acceso desde regiones y sectores aislados.";1;No;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Ni de acuerdo ni en desacuerdo;Ni acuerdo ni en desacuerdo;Se necesita mas informacion respecto a criterios a considerar en ambos casos.;1;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;Favorece la difusion ademas que regula plagios entre investigadores en Chile;1;No responde;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No responde;;;De acuerdo;Muy de acuerdo o de acuerdo;;;No responde;;;"Considerar criterios apropiados a cada area del conocimiento; dar valor a indexaciones sin fines de lucro; que aporten al desarrollo del libre pensamiento.";1
78;Si;Hombre;73;MAYOR DE 60;INGENIERIA ELECTRICA Y ELECTRONICA;INGENIERIA Y TECNOLOGIA;Persona Natural;CHILE;CHILE;13. METROPOLITANA;RM;;;;;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;Si;"Una claridad especifica sobre los documentos previos a un solicitud de patente de invencion; ya que cualquier publicacion ""obligatoria"" sobre alguna investigacion que permita solicitar un privilegio industrial; puede anular dicha solicitud; y mas que publicaciones; se necesitan mas invenciones.";1;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;Muy de acuerdo;Muy de acuerdo o de acuerdo;;;No;;;En desacuerdo;Muy en desacuerdo o desacuerdo;"La publicacion de una solicitud de propiedad industrial (invenciones); tiene; por ley; un proceso de publicacion que en Chile no tiene una fuente de publicacion; hasta ahora; que permita divulgar una solicitud de patente de invencion; o una patente de invencion concedida; cuando esta es publica por ley; ya que requiere de recursos que no estan disponibles;  aun; por lo que debiera de existir una sinergia para evitar mayores gastos.";1;Si;"apoyar la base de datos publica del INAPI; de modo de tener acceso a los documentos completos y no un resumen.";1;En desacuerdo;Muy en desacuerdo o desacuerdo;"la frase ""La ANID ponderara; a su vez; esas razones y podra autorizar o no la exclusion por confidencialidad""; es muy ""debil""; ya que toda investigacion; que tenga posibilidades de convertirse en una solicitud o patente de invencion; DEBE ser confidencial; y esa decision es parte del objetivo de la partida de una investigacion.";1;No;;;En desacuerdo;Muy en desacuerdo o desacuerdo;"cuando se dice ""las obligaciones contenidas en esta politica de acceso abierto""; no hay claridad sobre la PI que requiere de confidencialidad segun lo indica la ley respectiva; cabe insistir en que la investigacion aplicada genera desarrollo; por lo tanto; en cada accion debe estar claramente indicada la politica de privacidad de la investigacion tecnologica.";1;No;;;"Es muy debil la mencion de la investigacion tecnologica; que resulta en invenciones; ya que durante el proceso de investigacion se requiere de una privacidad de difusion; puede existir una exposicion a puertas cerradas de informes de avance; pero no publica.";1
